Retailer	Long Name	Suppliers	Website
Ag Valley Coop	Ag Valley Cooperative – NE KS	Winfield	https://agvalley.com/
Ag-Land FS	Ag-Land FS - IL	Growmark	https://fscooperatives.com/aglandfs
AgLand Coop	AgLand Cooperative - SD		http://www.aglandsd.net/about-us/history/
AGRILAND FS	Agriland FS - IA	Growmark	https://www.agrilandfs.com/
AgState	AgState - IA	Winfield	https://agstate.org/
Agtegra	Agtegra - SD ND MN	"Winfield, Rosen's"	https://www.agtegra.com/
AgVantage FS	AgVantage FS - IA	Growmark	https://fscooperatives.com/agvantagefs
Agwrx Coop	Agwrx Coop - SD	"Winfield, Rosen's, IAP"	https://www.agwrxcoop.com/
"Asmus Farm Supply, Inc."	"Asmus Farm Supply, Inc. - IA MN"	"Nutrien, Winfield"	https://www.afschem.com/
Aurora Coop	"Aurora Coop - NE, IA, KS, CO, TX"	Winfield	https://auroracoop.com/
Central Farm Service	Central Farm Service - MN IA	Winfield	https://www.cfscoop.com/
Central Farmers Coop	Central Farmers Cooperative - SD NE	Winfield	https://www.cenfarmcoop.com/
Central United Coop	Central United Coop - MN	Winfield	https://www.cfscoop.com/
Central Valley Ag	Central Valley Ag - NE IA	Winfield	https://www.cvacoop.com/
Central Valley Coop	Central Valley Cooperative - MN	Winfield	https://centralunitedcoop.com/
CHS Ag Services	CHS Ag Services - MN ND	CHS	https://www.chsagservices.com/
CHS Brandon	CHS Brandon - SD MN NE	CHS	https://www.chsbrandon.com/
CHS Central Plains	CHS Central Plains - NE	CHS	https://www.chsdevilslake.com/
CHS Dakota Plains Ag	CHS Dakota Plains Ag - ND MN SD	CHS	https://www.chsdakotaplainsag.com/
CHS Devils Lake	CHS Devils Lake - ND	CHS	https://www.chsdevilslake.com/
CHS Elburn	CHS Elburn - IL	CHS	https://www.chs-illinois.com/
CHS Farmers Alliance	CHS Farmers Alliance - SD	CHS	https://www.chsfarmersalliance.com/
CHS Federated Co-ops	CHS - Federated Co-ops — MN	Winfield	https://www.federatedcoops.com/
CHS Garrison	CHS Garrison - ND	CHS	https://www.chsgarrison.com/
CHS Herman	CHS Herman - MN SD	CHS	https://www.chs-herman.com/
CHS Northern Grain	CHS Northern Grain - MN	CHS	https://www.chsagservices.com/
CHS Processing Terminal	CHS Processing Terminal	CHS	https://chsag.com/
CHS River Plains	CHS River Plains - SD ND	CHS	https://www.chsriverplains.com/
CHS Rochester	CHS Rochester - MN	CHS	https://www.chsrochester.com/
CHS Southwest Grain	CHS Southwest Grain - ND SD	CHS	https://www.chssouthwestgrain.com/
CHS West Central	CHS West Central - MN	CHS	https://www.chsagservices.com/
Conserv FS	Conserv FS - IL	Growmark	https://fscooperatives.com/conservfs
Cooperative Farmers Elevator	Cooperative Farmers Elevator - IA MN SD	Winfield	https://www.coopfe.com/
Country Partners Coop	Country Partners Cooperative	Winfield	https://www.countrypartnerscoop.com/
Countryside Ag Service	Countryside Ag Service	"Rosen's, Winfield, Nutrien"	https://www.countrysideagservice.net/
CPI	Cooperative Producers Inc - NE	"Rosen's, Winfield, IAP"	https://cpicoop.com/
Evergreen FS	Evergreen FS - IL	Growmark	https://fscooperatives.com/evergreenfs
Farm Service Coop	Farmers Service Cooperative – IA	"Winfield, Rosen's"	https://fscoop.com/
"Farmers Coop Society, Inc."	Farmers Coop Society - IA SD	"Nutrien, Winfield, Rosen's"	https://www.farmerscoopsociety.com/
Farmers Pride	Farmers Pride Cooperative – NE & SD	Winfield	https://www.farmerspridecoop.com/
FCA Vision Ag	FCA Vision Ag - IA	"Nutrien, Winfield"	https://www.keotafarmerscoop.com/
Frenchman Valley Coop	Frenchman Valley Coop - NE	Winfield	https://www.fvcoop.com/
Frontier Coop	Frontier Cooperative - NE	Winfield	https://www.frontiercooperative.com/
GAPS FS	GAPS FS - MI	Growmark	https://www.gapsfs.com/
Gateway FS	Gateway FS - IL	Growmark	https://fscooperatives.com/gatewayfs
Gold-Eagle Coop	Gold-Eagle Cooperative - IA	Winfield	https://www.goldeaglecoop.com/
GRAINCO FS	GRAINCO FS - IL	Growmark	https://fscooperatives.com/graincofs
Heartland Coop	Heartland Co-op - IA NE TX	Nutrien	https://www.heartlandcoop.com/
Helena Retail	Helena Agri-Enterprises - IA	Helena	https://www.helenaagri.com/our-company/locations/
Heritage FS	Heritage FS - IN IL	Growmark	https://fscooperatives.com/heritagefs
Hi-Line Coop	Hi-Line Cooperative - NE	"Winfield, Nutrien, Rosen's"	https://hilinecoop.com/
HiWay 75 Ag	"HiWay 75 Ag, LLC"		https://www.facebook.com/profile.php?id=100090701195640#
Hull Coop	Hull Cooperative - IA	"Winfield, Nutrien"	https://www.visithull.com/
Illini FS	Illini FS - IL	Growmark	https://fscooperatives.com/sunrisefs
Innovative Ag Services	Innovative Ag Services - IA	Winfield	https://www.innovativeag.com/
Keystone Coop	Keystone Cooperative - IN MI	Winfield	https://www.keystonecoop.com/
Landus	Landus - IA	Winfield	https://www.landus.ag/
Legacy Farmers Coop	Legacy Farmers Cooperative - OH	Growmark	https://www.legacyfarmers.com/
M&M FS	M&M Service Company FS - IL	Growmark	https://fscooperatives.com/mmservice
Midwest Service Co	Midwest Service Company - NE		
New Century FS	New Century FS - IA	Growmark	https://fscooperatives.com/newcenturyfs
NEW Coop	NEW Cooperative - IA	Winfield	https://www.newcoop.com/
Nutrien Ag - Retail	Nutrien Ag Solutions - IA	Nutrien	https://www.nutrien.com/
Prairieland FS	Prairieland FS - IL	Growmark	https://fscooperatives.com/prairielandfs
PRO Coop	PRO Cooperative - IA	Winfield	https://procooperative.com/
RedStar	RedStar Fertilizer - NE MN	IAP	https://www.redstarne.com/
South Central FS	South Central FS - IL	Growmark	https://fscooperatives.com/southcentralfs
Sunrise Coop	Sunrise Cooperative - OH	Winfield	https://www.sunriseco-op.com/
Tama-Benton Coop	Tama-Benton Coop - IA	Winfield; Rosen's	https://www.tamabentoncoop.com/
Three Rivers FS	Three Rivers FS - IA	Growmark	https://fscooperatives.com/threeriversfs
United Prairie LLC	United Prairie LLC - IL	Winfield	https://www.unitedprairie.com/
Valley United Coop	Valley United Coop - ND MN	Winfield	https://www.valleyunited.ag/
Wabash Valley FS	Wabash Valley FS - IL IN	Growmark	https://fscooperatives.com/wabashvalleyfs
Wells Ag	Wells Ag Supply - IA	"Winfield, Rosen's, IAP"	https://wellsagsupply.com/
West Central FS	West Central FS - IL IA	Growmark	https://fscooperatives.com/westcentralfs
Western Consolidated	Western Consolidated - MN		https://www.west-con.com/
